item_code,description,vendor,Consumable or not,
38694,XPIC ODU 11GHZ HIGH TX HIGH,NSN,1,
38695,4FT ANTENNA 11GHZ HP GERAGON,,1,
38696,6ft DP Antenna 11GHz HP Ceragon,Ceragon,1,
38697,Diplexer 8G 311.32MHz Block A,Ceragon,1,
38698,Diplexer 8G 311.32MHz Block B,Ceragon,1,
38921,CL1TG 1.35-0 EPROMS,,1,
38921,CL1TG 1.35-0 EPROMS (PAIR),TDR FINLAND,1,
38944,CENTRAL CONTROL UNIT,NOKIA,1,
38945,SMART BIAS-T 12V,KATHREIN,1,
38947,UMTS DUAL MHA WITH RET,"AUX PRODUCTS, 3RD PARTY",1,
39254,TERMÄ°NAL VT5520 Ä°NC. UK KEYBOARD,,1,
39254,TERMINAL VT5520 INC. UK KEYBOARD,NSN,1,
39278,MK-0169-0 ADAPTER 7&8GHZ,,1,
39279,MA-0286-0 Adapter 13GHz single,Ceragon,1,
39280,MA-0285-0 Adapter 13GHz QORAM,Ceragon,1,
39281,MA-0288-0 Adapter 15GHz single,Ceragon,1,
39282,"15P-IDC-C-E1, IDC E1 & Chassis",Ceragon,1,
39480,121394 CPCI-745 ENDURX CL. CPU,,1,
39480,121394 CPCI-745 ENDURX CL. CPU,,1,
39481,120460 SERÄ°AL CABLE,,1,
39481,120460 SERIAL CABLE,,1,
39499,110690 DUAL E1/T1 PMC MODULE,,1,
39499,110690 DUAL E1/T1 PMC MODULE,,1,
39609,"Diplexer 6GHz, TxRx 340MHz 02",Ceragon,1,
39611,"Diplexer 6GHz, TxRx 340MHz 06",Ceragon,1,
39680,ECET 1.26-0 EPROM,,1,
39680,ECET 1.26-0 EPROM,,1,
39847,CLAB 2.17-0 EPROM,,1,
39847,CLAB 2.17-0 EPROM (PAIR),TDR FINLAND,1,
40236,IDM-MUX  UP TO 48E1,,1,
40237,IDM-MUX  UP TO 32E1,,1,
40238,IDM-MUX  UP TO 64T1,,1,
40239,IDM-MUX  UP TO 28T1,,1,
40240,OU 13G WIDEBAND 1-4 LOW,NSN,1,
40241,OU 13G WIDEBAND 1-4 HIGH,NSN,1,
40242,OU 13G WIDEBAND 5-8 LOW,NSN,1,
40243,OU 13G WIDEBAND 5-8 HIGH,NSN,1,
40244,Dual ODU Mount 38GHz,Ceragon,1,
40245,Dual ODU Mount 26GHz,Ceragon,1,
40246,Dual ODU Mount 23GHz,Ceragon,1,
40247,Dual ODU Mount 18GHz,Ceragon,1,
40248,Dual ODU Mount 15GHz,Ceragon,1,
40249,Dual ODU Mount 13GHz,Ceragon,1,
40251,Quad ODU Remote Mount 23GHz,Ceragon,1,
40252,Quad ODU Remote Mount 15GHz,Ceragon,1,
40253,2FT ANTENNA 13GHZ CERAGON,,1,
40254,4FT ANTENNA 13GHZ CERAGON,,1,
40276,STM-1 TO MM Y-CABLE,,1,
40283,CL3TG-S 1.37-0 EPROMS,,1,
40283,CL3TG-S 1.37-0 EPROMS (SINGLE),TDR FINLAND,1,
40284,SWCOP-A 2.13-0 EPROM,,1,
40284,SWCOP-A 2.13-0 EPROM,,1,
40432,Terminal 2+1 6U,Nera,1,
40439,Optical SMT-1 interfaces,Nera,1,
40491,Antenna 7G 2.4m HXPD,Nera,1,
40500,OP20-FLTR-BP RF branching filter,Nera,1,
40539,"XCVR SD, 7.4-7.7G, Lower",Nera,1,
40669,Dehydrator 6 out 230V Automatic,Nera,1,
40684,BLANK IDM UNÄ°T,,1,
40687,Diplexer 7Ghz TxRx 161MHz 01,Ceragon,1,
40688,Diplexer 7Ghz TxRx 161MHz 02,Ceragon,1,
40976,2U IDU CHASSÄ°S FOR 2+2 SD,,1,
40977,Flexible Waveguide 6GHz,Ceragon,1,
41123,XCVR 6.4-7.1GHz Lower band 1 ch 1-4,Nera,1,
41129,XCVR 6.4-7.1GHz Upper band 1 ch 1-4,Nera,1,
41130,XCVR 6.4-7.1GHz Lower band 2 ch 5-8,Nera,1,
41132,XCVR SD 6.4-7.1GHz Lower band 1 ch 1-4,Nera,1,
41133,XCVR SD 6.4-7.1GHz Upper band 1 ch 1-4,Nera,1,
41134,XCVR SD 6.4-7.1GHz Lower band 2 ch 5-8,Nera,1,
41135,XCVR SD 6.4-7.1GHz Upper band 2 ch 5-8,Nera,1,
41136,XCVR 7.1-7.4GHz Lower,Nera,1,
41137,XCVR 7.1-7.4GHz Upper,Nera,1,
41138,XCVR 7.4-7.7GHz Lower,Nera,1,
41139,XCVR 7.4-7.7GHz Upper,Nera,1,
41140,Modem Board 64/128TCM,Nera,1,
41141,Supervisory Unit,Nera,1,
41142,Power Filtering Board,Nera,1,
41143,Alarm Display and Relay Board,Nera,1,
41144,Transceiver Fan Unit,Nera,1,
41145,XCVR 6.4-7.1GHz Upper band 2 ch 5-8,Nera,1,
41487,IDM-2FE 2XFAST ETHERNET+8E1,NSN,1,
41488,IDM-GE 400MBPS SFP GE+8E1,NSN,1,
41489,OCB 7GHz 161MHz 7.4385,Ceragon,1,
41490,OCB 7GHz 161MHz 7.5995,Ceragon,1,
41491,OCB 7GHz 161MHz 7.5225,Ceragon,1,
41492,OCB 7GHz 161MHz 7.6835,Ceragon,1,
41493,ADAPTER FOR STM-1E 1.0/2.3 TO BNC,,1,
41494,1500HP RF UNIT 7GHZ,NOKIA,1,
41495,1500SP F WAVEGUÄ°DE Ä°NTERFACE,,1,
41496,1500HP Pole Mount Assembly kit,Ceragon,1,
41497,1500HP Short 7&8 GHz,Ceragon,1,
41498,1500HP 50 Ohm Termination 7&8 GHz,Ceragon,1,
41499,FLEX WG 1.8M 7-8GHZ,,1,
42720,ODU HSB2+0 Coupler 13 GHz,Nera,1,
42721,ODU 13GHZ 266MHZ SUBBAND 1 LOW,NOKIA,1,
42722,ODU 13GHZ 266MHZ SUBBAND 1 HIGH,NOKIA,1,
42723,ODU HSB2+0 Coupler 15 GHz,Nera,1,
42724,ODU 15GHZ 420MHZ SUBBAND 1 LOW,NOKIA,1,
42725,ODU 15GHZ 420MHZ SUBBAND 1 HIGH,NOKIA,1,
42726,BASIC IFU ASSEMBLY,NOKIA,1,
42727,SUPERVISORY MODULE,NOKIA,1,
42728,RADIO INTERFACE MODULE,NOKIA,1,
42729,155M electrical (G.703) interface unit,Nera,1,
42730,155M OPTICAL (S-1.1) INTERFACE UNIT,NOKIA,1,
42731,Coax Cable 100m on drum cable ties,Nera,1,
42732,Connectors and grounding kit,Nera,1,
42733,IFU mounting kit,Nera,1,
42734,IFU and ODU grounding kit,Nera,1,
42736,0.6 m HP Antenna 13GHz Low Profile,Nera,1,
42737,0.6 m HP Antenna 15GHz Low Profile,Nera,1,
42747,OCB 7G 154 7.498,Ceragon,1,
