VENDOR,PART NUMBER,DESCRIPTION,MARKET PRICE (EUR),LAST FOUND LIST PRICE (USD),Weight,Dimension ,Remarks
ADVA,0063306508,2TCM #8 E-MC-HS 63306508,,,,,
ADVA,0063306512,2TCM #12 E-MC-HS 63306512,,,,,
ADVA,0063702000,WCC-PC1N,,,,,
ADVA,0063703406,WCA-PC-10G-V#D06,,,,,
ADVA,0063703408,WCA-PC-10G-V#D08,,,,,
ADVA,0063706400,WCA-PCN-2G5U,,,,,
ADVA,0063707000,2TCA-PCN-1G3+2G5,,,,,
ADVA,0063708410,NCU,,,,,
ADVA,0063708420,SCU,,,,,
ADVA,0063708461,OSCM-V#1630,,,,,
ADVA,0063708462,2OSCM,,,,,
ADVA,0063708480,OSFM+ #1630,,,,,
ADVA,0063708504,4GSM- #D01-#D16,,,,,
ADVA,0063708601,4CSM-D01-D04,,,,,
ADVA,0063708701,4CSM+#D01-#D04,,,,,
ADVA,0063708702,4CSM+ #D05-#D08,,,,,
ADVA,0063708802,4CSM-#C1470-#C1610,,,,,
ADVA,0063708805,8-PORT CWDM CHANNEL SPLITTER M,,,,,
ADVA,0063709023,EDFA-C-S18-GC,,,,,
ADVA,0063709024,EDFA,,,,,
ADVA,0063709041,EDFA,,,,,
ADVA,0063709222, DCF-M,,,,,
ADVA,0068200001,RSM/OSC,,,,,
ADVA,0068200014,OSCM-OLM/1630,,,,,
ADVA,0069500020,NEMI,,,,,
ADVA,0069500060,FSP500 SNMP MANAGEMENT,,,,,
ADVA,0069501020,ETHERNET/E1/HOT STANDBY TRANSC,,,,,
ADVA,0069503550,Gigabit Ethernet - SM1300NM,,,,,
ADVA,0069503610,GIGABIT ETHERNET CARD,,,,,
ADVA,0078200001,CHASSIS,,,,,
ADVA,0078200002,FSP2000,,,,,
ADVA,0078200003,CHASSIS,,,,,
ADVA,0078300084,SHELF DC&FA ETSI,,,,,
ADVA,0078300085,PU 3000,,,,,
ADVA,0078300086,SHELF-DC,,,,,
ADVA,0078700061,FSP3000R7 SH1HU-R,,,,,
ADVA,0078700101,FSP 3000R7 SH7HU,,,,,
ADVA,0078903003,FSP150CP,,,,,
ADVA,0078903004,FSP150CP,,,,,
ADVA,0078903008,FSP150CP/ADV/CP/GIG/2DC/NEMI,,,,,
ADVA,0078941506,FSP 1500,,,,,
ADVA,0078941507,F1500/M/P/S 78941507,,,,,
ADVA,0079501020,FSP 500,,,,,
ADVA,1040700004,PSU/7HU-AC-HP,,,,,
ADVA,1040904050,Power Supply UNIT - 120/240VAC,,,,,
ADVA,1061001894-01,XFP/B1330L/SM/LC/TIN,,,,,
ADVA,1061701401-05,XFP DWDM 1529.55NM ZR SMF 80,,,,,
ADVA,1061701402-05,XFP/11G/D1530.33V/SM/LC#D02,,,,,
ADVA,1061701403-05,XFP/11G/D1531.12V/SM/LC#D03,,,,,
ADVA,1061701404-05,XFP/11G/D1531.90V-SM/LC,,,,,
ADVA,1061701406-05,XFP/11G/D1534.25V/SM/LC#D06,,,,,
ADVA,1061701408-05,XFP/11G/D1535.82VSM/LC#D08,,,,,
ADVA,1061701409-05,XFP/11G/D1537.40V/SM/LC#D09,,,,,
ADVA,1061701411-05,XFP/11G/D1538.98V/SM/LC#D11,,,,,
ADVA,1061701413-05,XFP/11G/D1541.135VSM7LC#D13,,,,,
ADVA,1061701414-05,XFP/111G/D1542.14V/SM/LC#D14,,,,,
